растирать	несов.\nсм. растереть.
похищать	несов.\nсм. похитить.
красящий,	­ая, -ее\n1. прич. от красить;\n2. прил. боёочу, боёгуч, боёк түшүрүүчү;\nкрасящие вещества боёгуч заттар.
материнство	ср.\nэнелик (1. эненин балага сезими, туйгусу; 2. аялдын боюнда бар, төрөт жана бала эмизүү убагындагы абалы).
единение	ср.\nбиригишүү, биригүү, биргелешүү;\nединение масс в борьбе за мир тынчтык үчүн болгон күрөштө массанын биригиши.
верблюжатина	ж.\nтөөнүн эти.
легкокрылый,	­ая, -ое\nпоэт.\n1. жеңил канаттуу;\n2. перен. (непостоянный, изменчивый) туруксуз, бейопа.
глупец	м.\nкелесоо, акмак.
архаичный,	см. архаический.
печься	печься I\nнесов.\n1. (о хлебе и т.п.) бышуу, какталып бышырылуу (мис. токон, самса);\n2. (напр. на солнце) какталуу, ысуу (мас. аптапка);\n3. страд. к печь I 1.\nпечься II\nнесов. о ком-чём, разг.\n(заботиться) камын жеш, кам көрүү;\nона очень печётся о своём ребёнке ал (аял) өзүнүн баласы жөнүндө өтө камкордук кылат.
застывать	несов.\nсм. застыть.
кусковой,	­ая, -ое\nчагылган, бөлүнгөн, кертилген, майда бөлүктөргө кесилген;\nкусковой сахар чагылган кант.
пневмония	ж. мед.\nпневмония (өпкөнүн сезгенип ооруганы).
вертеть	несов.\n1. что, чем (вращать) дөңгөлөтүү, айландыруу, тегеретүү;\nвертеть колесо дөңгөлөктү айландыруу (тегеретүү, дөңгөлөтүү);\nвертеть тростью колу менен таякты тегеретүү;\n2. кем-чем, перен. разг. чайкоо, өз билгенин кылып бирөөнү башкаруу.
шишковатый,	­ая, -ое\nшишик сыяктуу, урдуу, уюлдуу;\nшишковатый сук уюлдуу бутак.
несвоевременный,	­ая, -ое\nөз убагында болбогон, өз учурунда болбогон, керектүү убагында болбогон, учурунда болбогон, жөнсүз, ылайыксыз убакта болгон.
комбинировать	несов.\n1. что (соединять) комбинациялоо, аралаштыруу, кураштыруу, айкалыштыруу, кошуу;\nкомбинировать шёлк с шерстью жибек менен жүндү кураштыруу;\n2. разг. (строить комбинации) комбинация жасоо, бирин-бирине урунуштуруу, эптештирүү, түрдүүчө амал куруу, бирөөнүн тебетейин бирөөгө кийгизүү.
тявкать	несов. разг.\nүрүү, борсулдап үрүү.
скрепление	ср.\n1. бириктирүү, эптештирүү;\nскрепление листов барактарды бириктирүү;\n2. (удостоверение) күбөлөндүрүү, күч берүү, бекитүү;\nскрепление договора договорду бекитүү (мис. кол коюп);\n3. тех. (скрепа) кадоо, кадооч;\n4. тех. (скреплённые части) кадалган (бекитилген) бөлүктөр.
якутка	женск. р. к якут;\nякутка.
сословный,	­ая, -ое\nсословие-ге т.; сословиелик;\nсословная монархия ист. сословиелик монархия;\nсословное неравенство сословиелик теңсиздик.
гневаться	несов. на кого-что, уст.\nачуулануу, каардануу.
обтереться	сов.\nсүртүнүү, аарчынуу;\nобтереться полотенцем сүлгү менен сүртүнүү, сүлгү менен аарчынуу.
инсценировать	сов. и несов. что\n1. театр. сахналаштыруу (адабий чыгарманы сахнада коюуга ылайыктоо);\n2. перен. анткордук менен иштөө.
истязание	ср.\nкатуу кыйноо, уруп-согуп кыйноо.
родий	м. хим.\nродий (күмүштөй ак жумшак металл).
запарывать	несов.\nсм. запороть.
слабосильный,	­ая, -ое\n1. (о людях, животных) бейкаруу, алы жок, күчү жок;\n2. тех. (не мощный) күчү аз;\nслабосильный мотор күчү аз мотор.
насладиться	сов. чем\nыракаттануу, жыргоо, мемирөө, көшүү;\nнасладиться музыкой музыкага көшүү.
